id,length,pesNumber,fileSize,outputSize
1,4800,10,2700,310
2,4700,8,2650,300
3,4900,12,2900,340
4,4750,9,2500,330
5,4600,11,2550,315
6,4850,7,2800,325
7,4950,6,2750,305
8,5000,8,2850,335
9,5100,10,2950,320
10,5200,9,2700,330
11,5300,8,2600,300
12,4600,11,2800,340
13,4750,10,2650,325
14,4850,7,2550,315
15,4950,6,2850,305
16,5050,9,2950,335
17,5150,8,2700,320
18,5250,10,2800,330
19,5350,9,2500,300
20,4900,8,2650,315
21,5000,10,2700,310
22,4800,9,2750,320
23,4900,8,2800,330
24,4700,7,2850,340
25,4600,6,2900,325
26,4750,10,2950,335
27,4850,9,2500,305
28,4950,8,2550,315
29,5050,7,2600,330
30,5150,6,2650,340
31,5250,10,2700,300
32,5350,9,2750,310
33,4600,8,2800,315
34,4700,7,2850,335
35,4800,6,2900,325
36,4900,10,2950,330
37,5000,9,2500,315
38,5100,8,2550,305
39,5200,7,2600,340
40,5300,6,2650,335
41,5400,10,2700,320
42,5500,9,2750,330
43,4600,8,2800,300
44,4700,7,2850,310
45,4800,6,2900,315
46,4900,10,2950,335
47,5000,9,2500,325
48,5100,8,2550,330
49,5200,7,2600,340
50,5300,6,2650,300
51,5400,10,2700,310
52,5500,9,2750,320
53,4600,8,2800,315
54,4700,7,2850,305
55,4800,6,2900,335
56,4900,10,2950,325
57,5000,9,2500,330
58,5100,8,2550,340
59,5200,7,2600,300
60,5300,6,2650,310
61,5400,10,2700,315
62,5500,9,2750,335
63,4600,8,2800,325
64,4700,7,2850,330
65,4800,6,2900,340
66,4900,10,2950,300
67,5000,9,2500,310
68,5100,8,2550,315
69,5200,7,2600,335
70,5300,6,2650,325
71,5400,10,2700,330
72,5500,9,2750,340
73,4600,8,2800,300
74,4700,7,2850,310
75,4800,6,2900,315
76,4900,10,2950,335
77,5000,9,2500,325
78,5100,8,2550,330
79,5200,7,2600,340
80,5300,6,2650,300
81,5400,10,2700,310
82,5500,9,2750,320
83,4600,8,2800,315
84,4700,7,2850,305
85,4800,6,2900,335
86,4900,10,2950,325
87,5000,9,2500,330
88,5100,8,2550,340
89,5200,7,2600,300
90,5300,6,2650,310
91,5400,10,2700,315
92,5500,9,2750,335
93,4600,8,2800,325
94,4700,7,2850,330
95,4800,6,2900,340
96,4900,10,2950,300
97,5000,9,2500,310
98,5100,8,2550,315
99,5200,7,2600,335
100,5300,6,2650,325
101,5400,10,2700,330
102,5500,9,2750,340
103,4600,8,2800,300
104,4700,7,2850,310
105,4800,6,2900,315
106,4900,10,2950,335
107,5000,9,2500,325
108,5100,8,2550,330
109,5200,7,2600,340
110,5300,6,2650,300
111,5400,10,2700,310
112,5500,9,2750,320
113,4600,8,2800,315
114,4700,7,2850,305
115,4800,6,2900,335
116,4900,10,2950,325
117,5000,9,2500,330
118,5100,8,2550,340
119,5200,7,2600,300
120,5300,6,2650,310
121,5400,10,2700,315
122,5500,9,2750,335
123,4600,8,2800,325
124,4700,7,2850,330
125,4800,6,2900,340
126,4900,10,2950,300
127,5000,9,2500,310
128,5100,8,2550,315
129,5200,7,2600,335
130,5300,6,2650,325
131,5400,10,2700,330
132,5500,9,2750,340
133,4600,8,2800,300
134,4700,7,2850,310
135,4800,6,2900,315
136,4900,10,2950,335
137,5000,9,2500,325
138,5100,8,2550,330
139,5200,7,2600,340
140,5300,6,2650,300
141,5400,10,2700,310
142,5500,9,2750,320
143,4600,8,2800,315
144,4700,7,2850,305
145,4800,6,2900,335
146,4900,10,2950,325
147,5000,9,2500,330
148,5100,8,2550,340
149,5200,7,2600,300
150,5300,6,2650,310
151,5400,10,2700,315
152,5500,9,2750,335
153,4600,8,2800,325
154,4700,7,2850,330
155,4800,6,2900,340
156,4900,10,2950,300
157,5000,9,2500,310
158,5100,8,2550,315
159,5200,7,2600,335
160,5300,6,2650,325
161,5400,10,2700,330
162,5500,9,2750,340
163,4600,8,2800,300
164,4700,7,2850,310
165,4800,6,2900,315
166,4900,10,2950,335
167,5000,9,2500,325
168,5100,8,2550,330
169,5200,7,2600,340
170,5300,6,2650,300
171,5400,10,2700,310
172,5500,9,2750,320
173,4600,8,2800,315
174,4700,7,2850,305
175,4800,6,2900,335
176,4900,10,2950,325
177,5000,9,2500,330
178,5100,8,2550,340
179,5200,7,2600,300
180,5300,6,2650,310
181,5400,10,2700,315
182,5500,9,2750,335
183,4600,8,2800,325
184,4700,7,2850,330
185,4800,6,2900,340
186,4900,10,2950,300
187,5000,9,2500,310
188,5100,8,2550,315
189,5200,7,2600,335
190,5300,6,2650,325
191,5400,10,2700,330
192,5500,9,2750,340
193,4600,8,2800,300
194,4700,7,2850,310
195,4800,6,2900,315
196,4900,10,2950,335
197,5000,9,2500,325
198,5100,8,2550,330
199,5200,7,2600,340
200,5300,6,2650,300
